City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,gargalianoi,37.0667,21.6333,11.88,86,100,2.26,GR,1737658507
335,sola,-13.8833,167.55,28.21,77,100,4.49,VU,1737658508
336,konarka,19.9,86.1167,22.47,75,6,2.97,IN,1737658510
337,tralee,52.2704,-9.7026,6.14,75,0,4.63,IE,1737658512
338,puerto deseado,-47.7503,-65.8938,21.7,34,15,1.5,AR,1737658513
339,sinabang,2.4803,96.3801,24.07,97,100,1.35,ID,1737658514
340,el calafate,-50.3408,-72.2768,13.57,40,9,4.94,AR,1737658515
341,saipan,15.1355,145.701,27.39,76,40,6.69,MP,1737658516
342,vorkuta,67.5,64.0,-17.68,96,100,1.54,RU,1737658518
343,luderitz,-26.6481,15.1594,20.29,72,0,7.58,NA,1737658519
344,ternate,0.8,127.4,25.9,83,100,2.2,ID,1737658521
345,awjilah,29.1081,21.2869,16.67,33,91,1.97,LY,1737658522
346,gamba,-2.65,10.0,26.14,84,100,3.17,GA,1737658523
347,prado,-17.3411,-39.2208,28.11,70,0,3.78,BR,1737658524
348,erenhot,43.6475,111.9767,-6.84,58,0,3.04,CN,1737658525
349,sao felix do xingu,-6.6447,-51.995,31.21,56,18,1.57,BR,1737658526
350,amarante do maranhao,-5.5667,-46.7422,28.99,71,99,0.67,BR,1737658527
351,mendi,-6.1761,143.6513,13.7,96,100,0.8,PG,1737658528
352,praia da vitoria,38.7333,-27.0667,18.14,88,40,9.15,PT,1737658529
353,rio gallegos,-51.6226,-69.2181,20.03,21,40,10.29,AR,1737658530
354,namtsy,62.7161,129.6658,-24.35,100,100,1.0,RU,1737658531
355,aginskoye,51.1,114.53,-26.38,100,67,0.61,RU,1737658533
356,gazojak,41.1875,61.4036,-3.04,47,0,7.78,TM,1737658534
357,laguna,38.421,-121.4238,13.04,64,0,0.45,US,1737658535
358,la sarre,48.8002,-79.1996,-10.97,82,100,4.02,CA,1737658536
359,along,28.1667,94.7667,12.63,75,73,0.34,IN,1737658537
360,warrnambool,-38.3833,142.4833,13.64,75,98,4.12,AU,1737658538
361,linxia chengguanzhen,35.6003,103.2064,0.04,52,100,0.4,CN,1737658539
